l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
57662660,1494,34947057,2435852,3684228049,7882913770,5596377290,5,0,420323757,41943040
57546568,3325,35290574,2494807,3674623349,7907403352,5623665636,8,0,420604258,41943040
57248372,6542,35385925,2423918,3655122146,7924600976,5643982294,9,0,420362845,41943040
53696247,2220,35332331,2329472,3555985679,7722320138,5510967691,11,0,420274024,41877504
53198784,3533,35589544,2309759,3528826250,7833511058,5630649068,14,0,420371838,41877504
53042752,3588,35634180,2270551,3500251772,7820588370,5636384083,4,0,420318385,41943040
53237438,3401,35878922,2270846,3489595440,7826873727,5646238662,11,0,420461495,41943040
53054741,3128,36075962,2238883,3480999221,7844706926,5670361175,9,0,420468482,41943040
53436364,3015,36512331,2239487,3503236264,7881812091,5695440218,4,0,420398274,41943040
54285000,3057,37095077,2269814,3534570604,7897410294,5694071183,9,0,420311831,41943040
53475620,1524,36703502,2232558,3488899841,7942514658,5765513998,20,0,420397148,41943040
53446763,2331,36637543,2196441,3487256326,7916294899,5745019766,9,0,420473840,41943040
53156575,2467,36502208,2191165,3493631669,7954935219,5783287496,11,0,420399835,41943040
53471631,2185,36561657,2236710,3523290663,7933555999,5750739117,6,0,420562013,41943040
53179169,1605,36373948,2214262,3505904931,7951520188,5764999517,5,0,420270859,41943040
53018077,2079,36364741,2168427,3500971228,7938123007,5769022330,11,0,420364777,41943040
52894366,2621,36380728,2187388,3490218637,7946035845,5763472491,5,0,420417363,41943040
52886728,590,36439972,2151395,3477031371,7950581765,5770449530,4,0,420319376,41943040
52817950,1247,36482723,2170282,3479105910,7954210801,5780140923,22,0,420280102,41943040
53570201,3025,36892743,2148646,3503377874,7946729910,5749295032,12,0,420504857,41943040
52751292,1648,36531876,2145538,3453703797,7954347741,5784394149,7,0,420332301,41943040
52682566,1357,36551697,2156991,3453792195,7942357092,5792621455,9,0,420128440,41943040
52742604,1729,36509187,2117759,3434304763,7940103473,5783150770,9,0,420346684,41943040
52633262,1239,36496204,2129561,3435439136,7952628551,5795542386,5,0,420394900,41943040
52788257,1739,36642797,2107094,3455508796,7945279837,5788827028,5,0,420323762,41943040
52620758,2004,36584691,2108953,3432587489,7964134227,5820295717,18,0,420410008,41943040
52427244,1639,36584529,2117220,3423944552,7939713377,5798372236,16,0,420429966,41943040
52395012,1066,36511917,2073119,3411611530,7961955184,5807397108,9,0,420325017,41943040
52357110,1673,36579330,2060491,3418055414,7961420912,5816500333,9,0,420260945,41943040
52612032,1357,36907635,2090487,3417808626,7955845337,5799570901,7,0,420355445,41943040
52555868,1241,36756201,2059102,3403699488,7958406466,5815826967,7,0,420290683,41943040
52574576,1655,36793370,2052637,3403827282,7958228135,5821594347,14,0,420417255,41943040
52387764,1967,36868220,2053703,3392657790,7984324891,5839184298,11,0,420553870,41943040
52518635,2845,37140925,2049262,3387773264,7953306927,5836506208,12,0,420137659,41943040
52786847,1811,37174835,2074482,3427807221,7960531807,5813286601,15,0,420299106,41943040
52606423,1534,37103983,2060841,3415491172,7969627684,5828491092,9,0,420347934,41943040
52093108,2109,36733931,2033939,3384780314,7974885865,5837236538,13,0,420593890,41943040
52254721,2485,36748217,2014603,3385056160,7970057953,5844157875,5,0,420316372,41943040
51977452,1485,36792629,2035708,3384167063,7962759763,5833368877,7,0,420368097,41943040
52413864,1447,37039446,2031568,3396054714,7963027825,5832006879,7,0,420416311,41943040
51963748,1497,36786493,2025650,3376225750,7970775115,5840425171,5,0,420120548,41943040
52104465,1716,36896255,2011120,3363478724,7961894166,5851407841,15,0,420402324,41943040
52191172,1562,36917560,2023745,3365738853,7969575289,5852774593,12,0,420476433,41943040
52025926,1306,36962512,2026549,3352948178,7977994960,5848986179,7,0,420487695,41943040
53247515,2061,37640243,2036916,3435450327,7968017191,5807644633,16,0,420128138,41943040
57479073,1290,40926082,2218977,3727102296,7954662212,5622817624,7,0,420096731,41811968
56881047,2027,40380886,2165223,3671386690,7922296412,5621083873,11,0,420133929,41943040
57103113,2118,40673215,2212875,3687277218,7908026188,5595600128,7,0,419968785,41877504
57433938,1438,40918456,2186200,3720478827,7942363544,5607750581,19,0,420218009,41943040
57648404,1303,40999969,2186983,3715778026,7945207156,5608579492,21,0,419960878,41943040
57418668,1245,40908493,2170764,3709839210,7946473310,5609131506,15,0,420060303,41943040
57903689,1657,41317498,2203342,3742912417,7962411772,5614661880,9,0,420587658,41943040
57596684,614,41146562,2166073,3716731994,7968532163,5640096394,18,4,421093950,41943040
58566221,1656,41884823,2225802,3781649067,8107807892,5721772819,15,2,427155320,41943040
57674614,933,41194886,2170990,3713669947,7949813874,5623970119,21,5,420361133,41943040
57926648,1109,41537832,2199548,3746546014,8022381659,5669857090,22,7,423715716,41943040
58890490,1419,42173571,2190106,3782371153,8138205399,5760576648,7,12,429767084,41943040
58518264,1662,41907152,2165365,3760396890,8088676822,5728895227,10,11,427583852,41943040
58348166,1188,41731300,2192748,3766098574,8097846391,5732692698,26,6,427398160,41877504
58460404,1385,41989324,2208426,3777894790,8095704737,5724950459,20,11,427172900,41943040
57693063,1240,41317092,2142177,3703946838,7981808138,5650227536,3,5,421288584,41943040
59277743,1427,42469541,2184371,3805201357,8210443338,5816205162,17,13,433416774,41943040
58268864,1915,42066123,2196244,3769857168,8094318282,5742063751,31,7,427509114,41943040
58250591,1391,41946421,2164245,3737722054,8079223884,5731612728,28,20,426538636,41943040
58524360,1698,42097865,2162511,3750952348,8106043303,5754165632,26,7,428135607,41943040
58017365,2046,41812544,2146474,3728057734,8045106003,5705512262,27,7,424789085,41943040
57788074,974,41725561,2154339,3706871466,7997675244,5672292219,33,7,421664520,41943040
57389190,2037,41339827,2106739,3672771531,7962309243,5646364501,63,11,420377596,41943040
58130096,1429,42065477,2124969,3733218281,8054015682,5722167762,9,14,426444832,41943040
57818176,929,41665377,2116915,3688257864,7994628985,5673002371,16,17,424164660,41943040
57377009,1309,41389578,2101762,3671306091,7976531598,5666389187,27,20,422169820,41943040
58222059,1372,42199323,2146041,3739081166,8097235391,5736304842,44,11,426920224,41943040
58210557,1504,42062005,2135332,3723580533,8103543564,5743966139,20,11,427334528,41943040
58463805,1462,42292202,2141330,3737048446,8123779444,5764941462,56,16,431301212,41943040
58311104,1575,42320707,2133290,3742206340,8108396974,5747309110,33,9,424018960,41943040
58342827,1775,42300569,2129546,3726292533,8098449701,5750478244,33,9,427715312,41943040
58246108,1643,42268614,2130417,3723881522,8095238248,5747885363,16,9,426345180,41943040
57829717,1633,41996919,2086568,3692173275,8032848601,5714854893,19,4,423849076,41943040
57784042,1350,41832787,2092321,3685090847,8017482819,5699018702,17,2,423307920,41943040
57303216,1015,41704930,2080495,3673245344,7994439440,5680673872,19,9,421016972,41943040
58019248,1250,42238355,2130345,3706135321,8071499432,5731855668,14,9,425377052,41943040
57167542,2205,41690435,2018688,3722133157,8006368441,5692824371,24,7,427438972,41943040
56459533,1636,41330497,2007718,3733996798,7951597886,5660394347,17,17,427370368,41943040
56546648,1313,41289676,1978249,3722216279,7946306317,5649953768,34,4,427110872,41943040
56496096,879,41240005,1964776,3719357137,7952744881,5661853901,55,5,427681948,41943040
54722704,1222,40360275,1910606,3664304061,7757325651,5515261342,19,2,422724628,41943040
49043601,1157,37221746,1518223,3506422489,7162005578,5101516528,35,2,423701076,41943040
44085981,787,34693709,1167439,3408034204,6755986208,4805779276,13,4,427401888,41943040
43534805,389,34467619,1094126,3391988724,6630512130,4724689143,23,7,427705556,41943040
41577319,787,33582365,985153,3327402067,6460921189,4608101671,7,4,426930112,41943040
40894970,361,33339626,958537,3304283103,6392512677,4552312711,7,0,427591312,41943040
39302706,544,32378246,810172,3242668580,6207677910,4425254187,12,0,427340352,41943040
35248286,734,30431968,590966,3063518744,5836773711,4169907854,22,0,427076320,41943040
32683597,827,29100907,445487,2981124819,5583387213,3987314556,13,11,427758824,41943040
31373167,509,27246376,421000,2928681361,5314131196,3748217468,33,2,427052416,41943040
30848342,2113,27389743,379169,2891730764,5302208287,3750998934,18,2,427700114,41943040
30830966,2321,27428988,349677,2853595204,5269049769,3739724094,18,0,427437062,41877504
30349646,1306,27073667,336146,2805805774,5192433208,3693435155,12,0,427367556,41943040
33355110,1608,26386811,691877,3013606271,5362970509,3688735850,18,4,425920952,40304640
33636842,1078,27173579,668748,2946754485,5377217500,3736858762,14,4,428600468,40304640
34784276,2476,27153036,809499,2992967101,5425925479,3724811638,9,2,420105534,40435712
43679311,1394,27566863,1758666,3549132270,6087099299,4002123470,11,6,422303302,39976960
45050231,2176,30432013,1635650,3486835205,6363957532,4289058772,19,2,431394116,41353216
44241387,2951,30933520,1641747,3461334825,6369873799,4310326008,7,7,427394704,41549824
46841779,2054,31747886,1740998,3516706478,6510038228,4409175723,9,4,427354004,41943040
46780191,2272,31675220,1745988,3510724038,6554556351,4461918959,9,3,424736820,41746432
50953303,1507,33363420,2191626,3746481882,6993353398,4694099808,21,7,430907504,41025536
54099439,1164,34050964,2470789,3943276949,7241810624,4825533765,6,7,426886732,41943040
55060862,1113,35423601,2403713,3868978810,7360976476,4974065011,14,7,425897664,41943040
56026543,1428,35949998,2586036,3951831002,7484965663,5038532829,4,0,420150605,41943040
57945233,745,36925117,2688433,4052352219,7696909272,5192920049,7,2,420151992,41943040
57573778,1649,37626350,2602775,3978357908,7735378385,5263397146,7,2,420118003,41943040
57906699,1481,38053985,2538269,3947855120,7716623759,5266084912,6,4,421161661,41943040
60305259,1664,39159622,2706738,4114016710,8001195231,5437639653,7,12,431047675,41943040
60886848,1095,39600889,2761080,4097341100,8071709662,5504982238,23,4,428050244,41943040
60280339,1064,39701846,2683468,4026458856,8031153962,5503162839,13,9,426362452,41943040
60392714,700,40067218,2643937,4014417562,8056326279,5540303039,11,12,428500424,41943040
60544471,1142,40431034,2630732,4013686285,8093837180,5580137472,4,4,427344512,41943040
60270492,1140,40360796,2592242,3976074462,8049798487,5557108757,9,11,427401932,40894464
60014749,1126,40289083,2574742,3965378258,8032829595,5548412766,7,12,427403680,41943040
60064567,1892,40503778,2568277,3961786921,8057415413,5576735487,11,13,432032335,41025536
59835300,1633,40495629,2543692,3940651530,8048013698,5580347628,2,4,422522981,41680896
60099913,508,40759770,2544425,3952466130,8082808116,5606398205,11,7,427659192,41943040
59739053,1618,40560902,2529522,3928869715,8056309479,5591383212,5,11,427348912,41877504
58758259,956,40031915,2465541,3849892611,7935895687,5512130501,11,9,420721629,41877504
60643177,202,41353190,2534523,3977406643,8188686502,5687030703,11,9,432601003,41943040
60519211,161,41427706,2522742,3968067456,8179366991,5684336306,14,9,428663592,41943040
60175592,465,41292350,2502160,3942532517,8153366009,5672522987,9,24,427642828,41943040
60214804,0,41423240,2484119,3936600249,8159661512,5678867601,11,19,427407708,41943040
60122903,201,41412571,2477902,3929901651,8154775754,5678074781,5,5,427076879,41877504
60146314,455,41441558,2462229,3918888792,8153202505,5682040762,9,7,427666513,41943040
